,w_index,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Airport_Code,tavg_cat,prcp_cat,wspd_cat
35,BOS 2022-04-12,2022-04-12,13.2,9.4,21.1,0.8,0.0,255.0,15.5,,1013.8,349.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
36,BOS 2022-04-13,2022-04-13,15.7,8.3,22.8,0.0,0.0,235.0,14.8,,1015.8,670.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
37,BOS 2022-04-14,2022-04-14,10.1,7.8,10.0,5.8,0.0,5.0,15.1,,1011.4,0.0,BOS,c) 10-20,b) 1-10,b) Light or Gentle Breeze
38,BOS 2022-04-15,2022-04-15,12.6,7.8,19.4,0.0,0.0,273.0,20.9,,1016.2,691.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
39,BOS 2022-04-16,2022-04-16,15.4,6.1,22.2,9.9,0.0,220.0,26.3,,1012.3,314.0,BOS,c) 10-20,b) 1-10,c) Moderate or Fresh Breeze
40,BOS 2022-04-17,2022-04-17,7.8,5.0,10.0,0.0,0.0,305.0,21.2,,1015.8,461.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
41,BOS 2022-04-18,2022-04-18,7.2,3.9,10.0,0.0,0.0,65.0,22.3,,1026.4,616.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
42,BOS 2022-04-19,2022-04-19,9.3,6.1,15.0,14.2,0.0,185.0,34.9,,1005.9,325.0,BOS,b) 0-10,c) 10-20,c) Moderate or Fresh Breeze
43,BOS 2022-04-20,2022-04-20,8.6,5.0,13.9,0.0,0.0,272.0,23.0,,1021.5,808.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
44,BOS 2022-04-21,2022-04-21,10.3,5.0,16.7,0.0,0.0,149.0,24.5,,1031.1,541.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
45,BOS 2022-04-22,2022-04-22,13.5,9.4,18.3,0.0,0.0,288.0,22.7,,1025.1,699.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
46,BOS 2022-04-23,2022-04-23,10.9,7.2,14.4,0.0,0.0,7.0,13.0,,1026.8,577.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
47,BOS 2022-04-24,2022-04-24,8.6,6.1,12.2,0.0,0.0,83.0,16.2,,1026.1,165.0,BOS,b) 0-10,a) 0-1,b) Light or Gentle Breeze
48,BOS 2022-04-25,2022-04-25,9.3,7.8,11.7,0.0,0.0,88.0,16.9,,1025.1,464.0,BOS,b) 0-10,a) 0-1,b) Light or Gentle Breeze
49,BOS 2022-04-26,2022-04-26,9.6,7.8,12.8,5.8,0.0,195.0,12.6,,1019.1,0.0,BOS,b) 0-10,b) 1-10,b) Light or Gentle Breeze
50,BOS 2022-04-27,2022-04-27,11.4,5.6,15.0,2.3,0.0,304.0,24.1,,1008.4,350.0,BOS,c) 10-20,b) 1-10,c) Moderate or Fresh Breeze
51,BOS 2022-04-28,2022-04-28,7.6,3.9,11.7,0.0,0.0,310.0,29.5,,1010.6,669.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
52,BOS 2022-04-29,2022-04-29,8.4,4.4,13.9,0.0,0.0,322.0,23.8,,1014.4,664.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
53,BOS 2022-04-30,2022-04-30,8.6,5.0,12.2,0.0,0.0,7.0,14.8,,1017.9,690.0,BOS,b) 0-10,a) 0-1,b) Light or Gentle Breeze
54,BOS 2022-05-01,2022-05-01,11.2,7.2,16.1,0.0,0.0,215.0,15.5,,1018.9,786.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
55,BOS 2022-05-02,2022-05-02,10.6,7.2,13.3,4.1,0.0,112.0,15.1,,1020.5,59.0,BOS,c) 10-20,b) 1-10,b) Light or Gentle Breeze
56,BOS 2022-05-03,2022-05-03,8.9,7.8,11.7,2.3,0.0,63.0,16.9,,1022.3,229.0,BOS,b) 0-10,b) 1-10,b) Light or Gentle Breeze
57,BOS 2022-05-04,2022-05-04,9.3,8.3,12.2,3.0,0.0,58.0,10.4,,1016.7,0.0,BOS,b) 0-10,b) 1-10,b) Light or Gentle Breeze
58,BOS 2022-05-05,2022-05-05,13.8,10.0,21.1,0.0,0.0,323.0,11.9,,1016.0,666.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
59,BOS 2022-05-06,2022-05-06,13.7,10.0,16.1,0.0,0.0,142.0,11.2,,1014.6,51.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
60,BOS 2022-05-07,2022-05-07,10.3,7.8,11.7,0.0,0.0,47.0,33.5,,1015.8,112.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
61,BOS 2022-05-08,2022-05-08,8.9,5.6,12.2,0.0,0.0,45.0,27.0,,1022.7,621.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
